district_name,block_name,gp_name,village_name,village_code,village_latitude,village_longitude,total_hhd,TOT_P,TOT_M,TOT_F,P_SC,P_ST,P_LIT,P_ILL,TOT_WORK_P,MAINWORK_P,MARGWORK_P,total_hhd_having_piped_water_connection,total_no_of_community_toilets_constructed,availability_of_phc,availability_of_chc,distance_of_phc,distance_of_chc,total_no_of_schools_primary_sections,total_no_of_schools_middle_sections,availability_of_high_school,availability_of_ssc_school,is_village_connected_to_all_weather_road,distance_of_all_weather_road,availability_of_internal_pucca_road,availablility_hours_of_domestic_electricity,is_broadband_available,no_of_shgs_under_nrlm,total_hhd_mobilized_into_shg,total_no_of_shg_promoted,total_shg_members_engaged_in_income_generation_activities,availability_of_cottage_small_scale_units,total_hhd_engaged_cottage_small_scale_units,piped_water_pct,toilet_per_100hh,sanitation_deficit_raw,sanitation_deficit,has_health_fac,min_health_distance,health_deficit_raw,health_deficit,total_schools,schools_per_1000,education_deficit_raw,education_deficit,service_deficit_index,road_deficit_raw,road_deficit,digital_deficit_raw,digital_deficit,electricity_deficit_raw,electricity_deficit,score_piped_water,score_toilets,score_sanitation,theme_water_sanitation_score,score_phc_avail,score_chc_avail,score_health_distance,score_health_deficit,theme_health_score,score_schools_per_1000,score_high_school_avail,score_ssc_school_avail,score_education_deficit,theme_education_score,score_all_weather_connectivity,score_all_weather_distance,score_internal_pucca_road,score_road_deficit,theme_roads_score,score_electricity_hours,score_broadband,score_digital_deficit,score_electricity_deficit,theme_digital_electricity_score,shg_coverage_pct,iga_members_pct,cottage_units_coverage_pct,score_shg_coverage,score_iga_members,score_cottage_units,score_cottage_avail,theme_livelihood_score,score_service_deficit,theme_service_score,pdi_village,pdi_grade
CHAMPAWAT,CHAMPAWAT,MATHIYA BANJH,Mathiya Baj,54418,29.072336,80.09484,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,2,2,5,5,2,0,2,2,2,5,2,3,2,7,40,4,0,2,0,19.23076923076924,0.0,0.8076923076923077,0.8076923076923077,1,5.0,0.6,1.0,6,0.0,1.0,1.0,0.9423076923076924,-0.1999999999999999,0.6153846153846155,-1,0.0,0.5,0.5,19.23076923076924,0.0,99.1923076923077,39.47435897435898,100.0,100.0,0.0,99.0,74.75,0.0,100.0,100.0,99.0,74.75,100.0,0.0,100.0,99.38461538461539,74.84615384615384,50.0,100.0,100.0,99.5,87.375,30.76923076923077,,0.0,30.76923076923077,,0.0,100.0,43.58974358974359,99.0576923076923,99.0576923076923,63.05890308365832,B
CHAMPAWAT,CHAMPAWAT,MOHANPUR,Mohanpur,54443,29.073087,80.113142,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0,2,2,1,1,0,0,2,2,2,1,2,4,2,5,50,5,50,2,0,33.33333333333333,0.0,0.6666666666666667,0.6666666666666667,1,1.0,0.0,0.0,4,0.0,1.0,1.0,0.5,-0.52,0.0,-1,0.0,0.25,0.25,33.33333333333333,0.0,99.33333333333333,44.22222222222222,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,99.0,74.75,100.0,80.0,100.0,100.0,95.0,75.0,100.0,100.0,99.75,93.6875,33.333333333333336,,0.0,33.333333333333336,,0.0,100.0,44.44444444444445,99.5,99.5,71.2435824280638,B
CHAMPAWAT,CHAMPAWAT,MOURARI,Moradi,53823,29.331316,80.087278,294,443.0,198.0,245.0,0.0,0.0,259.0,184.0,191.0,136.0,55.0,60,1,2,2,5,5,1,0,1,2,2,4,3,4,1,0,0,0,0,2,0,20.40816326530612,0.3401360544217687,0.7959183673469388,0.7959183673469388,1,5.0,0.6,1.0,4,9.029345372460496,0.9977426636568848,0.9977426636568848,0.938098309301147,-0.2799999999999999,0.4615384615384617,0,1.0,0.25,0.25,20.40816326530612,0.3401360544217687,99.20408163265306,39.98412698412698,100.0,100.0,0.0,99.0,74.75,0.2257336343115124,100.0,100.0,99.00225733634312,74.80699774266365,100.0,20.0,100.0,99.53846153846153,79.88461538461539,75.0,100.0,99.0,99.75,93.4375,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25.0,99.06190169069885,99.06190169069885,58.89262349128284,C
CHAMPAWAT,CHAMPAWAT,MUDYANI,Chhira Pani,53818,29.330741,80.084397,22,80.0,43.0,37.0,0.0,0.0,46.0,34.0,38.0,17.0,21.0,20,0,2,2,3,3,0,0,2,2,1,0,2,4,1,0,0,0,0,2,0,90.9090909090909,0.0,0.0909090909090909,0.0909090909090909,1,3.0,0.3,0.5,4,50.0,0.9875,0.9875,0.5235227272727273,0.0,1.0,0,1.0,0.25,0.25,90.9090909090909,0.0,99.9090909090909,63.6060606060606,100.0,100.0,50.0,99.5,87.375,1.25,100.0,100.0,99.0125,75.065625,100.0,100.0,100.0,99.0,99.75,75.0,100.0,99.0,99.75,93.4375,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25.0,99.47647727272727,99.47647727272727,67.80839827781968,B
CHAMPAWAT,CHAMPAWAT,MUDYANI,Mudiyani,53819,29.335895,80.090731,221,1083.0,533.0,550.0,136.0,0.0,714.0,369.0,526.0,473.0,53.0,200,1,2,2,4,4,1,1,1,1,1,0,2,4,2,4,20,0,0,1,2,90.49773755656108,0.4524886877828055,0.0950226244343891,0.0950226244343891,1,4.0,0.4499999999999999,0.75,4,3.693444136657433,0.9990766389658357,0.9990766389658357,0.6282297790200675,0.0,1.0,-1,0.0,0.25,0.25,90.49773755656108,0.45248868778280543,99.90497737556561,63.6184012066365,100.0,100.0,25.0,99.25,81.0625,0.09233610341643582,100.0,100.0,99.00092336103417,74.77331486611264,100.0,100.0,100.0,99.0,99.75,75.0,100.0,100.0,99.75,93.6875,9.049773755656108,0.0,0.9049773755656109,9.049773755656108,0.0,0.9049773755656109,100.0,27.488687782805428,99.37177022097993,99.37177022097993,68.02204070742468,B
CHAMPAWAT,CHAMPAWAT,NAGHAN,Salkanda,53793,29.334496,80.091379,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,3,3,0,0,2,2,2,3,3,5,2,0,0,0,0,2,0,0.0,0.0,1.0,1.0,1,3.0,0.3,0.5,4,0.0,1.0,1.0,0.8,-0.36,0.3076923076923077,-1,0.0,0.0,0.0,0.0,0.0,99.0,33.0,100.0,100.0,50.0,99.5,87.375,0.0,100.0,100.0,99.0,74.75,100.0,40.0,100.0,99.6923076923077,84.92307692307692,100.0,100.0,100.0,100.0,100.0,0.0,,0.0,0.0,,0.0,100.0,33.333333333333336,99.2,99.2,62.743604625290544,B
CHAMPAWAT,CHAMPAWAT,NAGHAN,Nadhan,53809,29.335842,80.087866,177,618.0,323.0,295.0,60.0,0.0,400.0,218.0,464.0,302.0,162.0,159,1,2,2,3,2,1,0,2,2,2,3,2,4,2,9,25,3,9,2,0,89.83050847457628,0.5649717514124294,0.1016949152542372,0.1016949152542372,1,2.0,0.15,0.25,5,8.090614886731391,0.9979773462783172,0.9979773462783172,0.4299016784597662,-0.36,0.3076923076923077,-1,0.0,0.25,0.25,89.83050847457628,0.5649717514124294,99.89830508474576,63.43126177024482,100.0,100.0,75.0,99.75,93.6875,0.20226537216828477,100.0,100.0,99.00202265372168,74.8010720064725,100.0,40.0,100.0,99.6923076923077,84.92307692307692,75.0,100.0,100.0,99.75,93.6875,14.124293785310735,1.4563106796116505,0.0,14.124293785310735,4.368932038834951,0.0,100.0,29.62330645603642,99.57009832154023,99.57009832154023,68.66028801778384,B
CHAMPAWAT,CHAMPAWAT,NAULA PANI,Naula Pani,54396,29.337878,80.094668,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,2,2,4,5,1,0,2,2,2,3,2,4,2,6,34,0,60,2,0,100.0,0.0,0.0,0.0,1,4.0,0.4499999999999999,0.75,5,0.0,1.0,1.0,0.6000000000000001,-0.36,0.3076923076923077,-1,0.0,0.25,0.25,100.0,0.0,100.0,66.66666666666667,100.0,100.0,25.0,99.25,81.0625,0.0,100.0,100.0,99.0,74.75,100.0,40.0,100.0,99.6923076923077,84.92307692307692,75.0,100.0,100.0,99.75,93.6875,77.27272727272727,,0.0,77.27272727272727,,0.0,100.0,59.090909090909086,99.4,99.4,75.81608054885233,A
CHAMPAWAT,CHAMPAWAT,NAULA PANI,Taliya Baj,54416,29.33776,80.094711,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0,2,2,5,5,1,1,1,2,2,4,2,4,2,6,35,0,60,2,0,100.0,0.0,0.0,0.0,1,5.0,0.6,1.0,5,0.0,1.0,1.0,0.7,-0.2799999999999999,0.4615384615384617,-1,0.0,0.25,0.25,100.0,0.0,100.0,66.66666666666667,100.0,100.0,0.0,99.0,74.75,0.0,100.0,100.0,99.0,74.75,100.0,20.0,100.0,99.53846153846153,79.88461538461539,75.0,100.0,100.0,99.75,93.6875,83.33333333333333,,0.0,83.33333333333331,,0.0,100.0,61.11111111111111,99.3,99.3,74.45594023330936,B
CHAMPAWAT,CHAMPAWAT,NAYAK GUNTH,Naik Goonth/ Naik Khera,54438,29.076991,80.110801,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2,0,2,1,1,2,2,1,0,3,4,1,40,250,5,200,2,0,2.0,0.0,0.98,0.98,1,2.0,0.15,0.25,6,0.0,1.0,1.0,0.694,0.0,1.0,0,1.0,0.25,0.25,2.0,0.0,99.02,33.67333333333333,100.0,100.0,75.0,99.75,93.6875,0.0,100.0,100.0,99.0,74.75,100.0,100.0,100.0,99.0,99.75,75.0,100.0,99.0,99.75,93.4375,25.0,,0.0,25.0,,0.0,100.0,41.666666666666664,99.306,99.306,67.13777921542965,B
CHAMPAWAT,CHAMPAWAT,NEED TALLI,Neerh,53900,29.357976,80.093125,216,686.0,297.0,389.0,102.0,0.0,377.0,309.0,315.0,238.0,77.0,95,0,2,2,4,4,2,1,1,2,1,0,2,4,2,0,0,0,0,2,0,43.98148148148148,0.0,0.5601851851851851,0.5601851851851851,1,4.0,0.4499999999999999,0.75,6,8.746355685131196,0.9978134110787172,0.9978134110787172,0.7673995788791707,0.0,1.0,-1,0.0,0.25,0.25,43.98148148148148,0.0,99.43981481481481,47.8070987654321,100.0,100.0,25.0,99.25,81.0625,0.21865889212827988,100.0,100.0,99.00218658892128,74.80521137026238,100.0,100.0,100.0,99.0,99.75,75.0,100.0,100.0,99.75,93.6875,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25.0,99.23260042112084,99.23260042112084,63.845427601241944,B
CHAMPAWAT,CHAMPAWAT,PACHNAI,Pachnai,53887,29.22484,80.048238,180,649.0,323.0,326.0,128.0,0.0,345.0,304.0,278.0,278.0,0.0,180,1,2,2,5,5,4,4,1,2,2,5,3,3,2,1,1,0,1,2,0,100.0,0.5555555555555556,0.0,0.0,1,5.0,0.6,1.0,11,16.949152542372882,0.9957627118644068,0.9957627118644068,0.698728813559322,-0.1999999999999999,0.6153846153846155,-1,0.0,0.5,0.5,100.0,0.5555555555555556,100.0,66.85185185185185,100.0,100.0,0.0,99.0,74.75,0.42372881355932207,100.0,100.0,99.0042372881356,74.85699152542372,100.0,0.0,100.0,99.38461538461539,74.84615384615384,50.0,100.0,100.0,99.5,87.375,0.5555555555555556,0.15408320493066255,0.0,0.5555555555555556,0.4622496147919876,0.0,100.0,25.254451292586886,99.30127118644067,99.30127118644067,62.87460508806895,B
